macro_id,macro_name_ko,macro_name_en,macro_type
M_036,글로벌여행수요,Global Travel Demand,Demand
M_037,유가하락,Oil Price Decline,MacroEcon
M_059,유가상승,Oil Price Increase,MacroEcon
M_061,러-우전쟁,Russo-Ukrainian War,Geopolitics
M_064,에너지수급,Energy Supply-Demand Balance,MacroEcon
M_075,OPEC감산정책,OPEC Production Cuts,Policy
M_076,해상운송리스크,Maritime Transport Risk,Risk
M_077,중국전략비축확대,China Strategic Reserves Expansion,Demand
M_078,셰일오일투자감소,Shale Oil Investment Decline,Demand
M_079,재생에너지지연,Renewable Energy Delay,Policy
M_080,항공수요증가,Aviation Demand Increase,Demand
M_081,제재,Sanctions,Geopolitics
M_082,중동전쟁,Middle East War,Geopolitics
